_from,to,category,score,normalized_score
acceso,hambre,politic,2,0.045920884776933006
acceso,herramienta,tech,3,0.020402832237083064
acceso,importante,tech,3,0.020402832237083064
acceso,informacion,politic,3,0.07398203522467027
acceso,informacion,tech,3,0.020402832237083064
acceso,inicio,tech,2,0.010201416118541534
acceso,internet,tech,6,0.051007080592707664
acceso,legal,politic,1,0.017859734329195735
acceso,limitado,tech,1,0.0
acceso,menor,tech,3,0.020402832237083064
acceso,nino,tech,3,0.020402832237083064
acceso,principal,tech,2,0.010201416118541534
acceso,producto,politic,3,0.07398203522467027
acceso,quejar,politic,3,0.07398203522467027
acceso,red,tech,4,0.0306042483556246
acceso,revivir,tech,1,0.0
acceso,seguridad,tech,3,0.020402832237083064
acceso,servicio,tech,1,0.0
acceso,sesion,tech,1,0.0
acceso,sistema,tech,1,0.0
acceso,smartthings,tech,6,0.051007080592707664
acceso,social,tech,2,0.010201416118541534
acceso,suponer,tech,1,0.0
acceso,telefono,tech,3,0.020402832237083064
acceso,tiktok,tech,2,0.010201416118541534
acceso,usuario,tech,3,0.020402832237083064
acceso,vital,tech,1,0.0
acceso,youtube,tech,3,0.020402832237083064
accesorio,largo,tech,3,0.020402832237083064
accesorio,pausa,tech,2,0.010201416118541534
accion,centro,politic,2,0.045920884776933006
accion,cese,politic,2,0.045920884776933006
accion,congresista,politic,3,0.07398203522467027
accion,diagnosticar,tech,3,0.020402832237083064
accion,diverso,tech,3,0.020402832237083064
accion,especifico,politic,6,0.15816548656788207
accion,europa,tech,1,0.0
accion,incluido,politic,4,0.10204318567240755
accion,mal,tech,2,0.010201416118541534
accion,recordar,politic,1,0.017859734329195735
accion,tomar,tech,2,0.010201416118541534
accion,tratamiento,tech,1,0.0
accion,venir,tech,3,0.020402832237083064
acechado,digitalmente,tech,3,0.020402832237083064
acechado,muerto,tech,2,0.010201416118541534
acechar,padre,tech,1,0.0
acechar,riesgo,tech,2,0.010201416118541534
acechar,serie,tech,3,0.020402832237083064
acelerar,astribot,tech,1,0.0
acelerar,cuadrado,tech,2,0.010201416118541534
acelerar,desactivar,tech,1,0.0
acelerar,dispositivo,tech,2,0.010201416118541534
acelerar,metro,tech,3,0.020402832237083064
acelerar,rendimiento,tech,3,0.020402832237083064
aceptar,confiable,tech,1,0.0
aceptar,cooki,tech,10,0.09181274506687381
aceptar,creer,tech,3,0.020402832237083064
aceptar,dato,tech,2,0.010201416118541534
aceptar,instalacion,tech,2,0.010201416118541534
aceptar,necesario,tech,4,0.0306042483556246
aceptar,pagina,tech,2,0.010201416118541534
aceptar,personal,tech,1,0.0
aceptar,rechazar,tech,3,0.020402832237083064
aceptar,tecnica,tech,1,0.0
aceptar,visitar,tech,1,0.0
acercar,celula,tech,3,0.020402832237083064
acercar,componer,tech,1,0.0
acercar,detalladamente,tech,1,0.0
acercar,entender,tech,3,0.020402832237083064
acercar,fecha,tech,3,0.020402832237083064
acercar,individual,tech,2,0.010201416118541534
acercar,tejido,tech,2,0.010201416118541534
acertado,avance,politic,2,0.045920884776933006
acertado,embargo,politic,1,0.017859734329195735
acertado,estancamiento,politic,1,0.017859734329195735
acertado,falla,politic,3,0.07398203522467027
acertado,mostrar,politic,3,0.07398203522467027
acertado,sistema,politic,2,0.045920884776933006
aclarar,carninci,tech,1,0.0
aclarar,cualquiera,tech,3,0.020402832237083064
aclarar,establecer,tech,1,0.0
aclarar,fracasar,politic,2,0.045920884776933006
aclarar,genetista,tech,3,0.020402832237083064
