_from,to,score
recurso,destinado,3
recurso,pago,2
recurso,testigo,1
red,crear,2
red,segun,1
red,social,3
reforma,afectar,3
reforma,aprobar,2
reforma,constitucion,2
reforma,constitucional,3
reforma,critico,1
reforma,decir,1
reforma,laboral,2
reforma,opinion,1
reforma,pension,1
reforma,petro,3
reforma,salud,3
reforma,voltear,2
regla,constitucion,3
regla,cualquiera,3
regla,deber,1
regla,elegir,2
regla,gobierno,5
regla,ley,2
regla,regla,1
regla,supuesto,1
relacionado,destinado,2
relacionado,pago,1
relacionado,recurso,3
reportar,autoridad,3
reportar,electoral,2
representantes,denuncia,3
representantes,gustavo,1
representantes,presidente,2
respecto,mecanismo,3
respecto,usar,2
respetar,decir,3
respetar,radio,1
respetar,velasco,2
respetuoso,elegir,1
respetuoso,gobierno,2
respetuoso,regla,3
respuesta,agregar,3
restrepo,kalmanovitz,2
restrepo,mauricio,1
restrepo,salomon,3
resultar,administrador,3
resultar,incompetente,2
resultar,personalidad,1
revelacion,confesion,1
revelacion,day,3
revelacion,vasquez,2
riesgo,enorme,3
riesgo,mayoria,2
riesgo,propuesta,1
salir,enorme,1
salir,flote,3
salir,riesgo,2
salomon,cabrera,1
salomon,kalmanovitz,3
salomon,mauricio,2
saltar,constitucion,1
saltar,establecido,2
saltar,paso,3
salud,contundente,1
salud,laboral,3
salud,pension,2
sanchez,apoyo,1
sanchez,pinto,3
sanchez,senalar,2
sarabia,adicional,1
sarabia,declaracion,2
sarabia,incluso,3
sector,cuasi,1
sector,persona,1
sector,prevencion,2
sector,privado,5
sector,publico,3
segun,ano,1
segun,colombia,3
segun,encuesta,3
segun,gobernado,2
segun,presidente,2
segun,querer,1
senador,adelantar,1
senador,centro,3
senador,comision,1
senador,democratico,2
senador,elemento,3
senador,florez,2
senador,miguel,3
senador,necesario,2
senador,partido,1
senador,pedro,3
senador,uribe,2
senalar,apoyo,3
senalar,campana,2
senalar,congresista,3
senalar,petro,1
serio,acuerdo,3
serio,posicion,2
serio,radical,1
servicio,grande,3
servicio,interes,2
servicio,privado,1
siempre,creer,3
siempre,enmarcada,3
siempre,estudiar,1
siempre,lucha,1
siempre,optica,2
siempre,parte,1
siempre,petro,2
siempre,razon,3
siempre,tercero,2
siglo,alvaro,3
siglo,igualmente,1
siglo,uribe,2
significar,razon,1
significar,siempre,2
significar,tecnocrata,3
simbolo,actualidad,2
simbolo,derecha,3
simplista,comenzar,1
simplista,danino,2
simplista,efectista,3
sindical,obrera,3
sindical,sindicato,1
sindical,uso,2
sindicato,ecopetrol,3
sindicato,pesos,1
sindicato,valor,2
sistema,embargo,3
sistema,siempre,1
sistema,solucion,2
social,colombia,1
social,crear,3
social,segun,2
socialismo,fracasar,3
sociedad,acuerdo,2
sociedad,dar,1
sociedad,intentar,3
solamente,enriquecer,3
solamente,perpetuar,2
solamente,pueblo,3
solo,energetico,2
solo,futuro,3
solo,gobernar,2
solo,institucion,1
solo,izquierda,3
solo,pais,1
solo,pobre,1
solo,politico,2
solo,proyecto,3
solucion,enmarcada,2
solucion,optica,1
solucion,siempre,3
sonador,economista,2
sonador,realista,3
sonador,serio,1
suficiente,actuar,3
suficiente,demostrar,3
suficiente,financiacion,2
suficiente,oficio,2
suficiente,parte,1
suficientemente,desarrollado,3
suficientemente,intentar,1
suficientemente,sociedad,2
supuesto,deber,3
supuesto,decir,1
supuesto,respetar,2
taquillero,creer,2
taquillero,siempre,3
taquillero,tercero,1
tecnocrata,petro,1
tecnocrata,razon,2
tecnocrata,siempre,3
tema,central,3
tema,equidad,2
tema,suficientemente,1
teoria,gobernar,1
teoria,izquierda,2
teoria,solo,3
tercero,colombiano,2
tercero,parte,3
tercero,verdad,1
terminar,hilario,2
terminar,jose,3
terminar,lopez,1
tesoreria,firmado,3
tesoreria,oscar,2
tesoreria,sanchez,1
testigo,dia,2
testigo,eleccion,1
testigo,electoral,3
tiempo,informe,1
tiempo,obtener,3
tiempo,primicia,2
tocar,constitucion,2
tocar,deber,1
tocar,estructura,3
top,campana,3
total,clase,1
total,exceso,3
total,generosidad,2
trabajo,extrano,3
transaccion,encontrar,2
transaccion,giro,1
transaccion,investigado,3
transformador,gobierno,3
transformador,jose,1
transformador,terminar,2
ultimo,alvaro,1
ultimo,medio,3
ultimo,siglo,2
unidad,investigativa,3
unidad,obtener,1
unidad,tiempo,2
union,obrera,2
union,sindical,3
union,uso,1
uribe,centro,2
uribe,democratico,1
uribe,igualmente,3
uribe,ministro,2
uribe,nadies,1
uribe,partido,3
uso,ecopetrol,2
uso,sindicato,3
uso,valor,1
valido,izquierda,1
valido,solo,2
valido,teoria,3
valioso,constitucion,1
valioso,mandatario,2
valioso,propuesta,3
valor,obstante,2
valor,pesos,3
valor,unidad,1
vargas,actualidad,1
vargas,derecha,2
vargas,simbolo,3
varios,campana,2
varios,caribe,1
varios,evento,3
vasquez,confesion,3
vasquez,nicolas,2
vasquez,petro,1
velasco,asegurar,3
velasco,gobierno,2
velasco,nacional,1
velasco,radio,3
verdad,creer,2
verdad,gobernar,1
verdad,izquierda,1
verdad,petro,3
verdad,president,3
verdad,presidente,2
verdadero,despues,2
verdadero,entusiasmo,1
verdadero,razon,3
veredicto,dar,3
veredicto,pueblo,1
veredicto,solamente,2
vial,german,3
vial,simbolo,1
vial,vargas,2
violacion,campana,2
violacion,top,3
vivienda,acueducto,3
vivienda,alcantarillado,2
vivienda,infraestructura,1
voltear,bien,1
voltear,opinion,3
voltear,publico,2
votacion,decidir,3
votacion,realizar,2
votar,chantajeado,3
votar,mermelada,2
votar,verdadero,1
